epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.79685,2.22541,4.35427,1.95327,0.58304,0.11631,0.15608,0.09963,1.88287,3.35576,1.82883,0.00013332,0.00013332,0.00013332
2,13.855,1.81139,2.77953,1.64564,0.47136,0.26464,0.29274,0.1574,1.70557,4.03729,1.64058,0.000273167,0.000273167,0.000273167
3,18.9534,1.73552,2.29327,1.49186,0.38618,0.34608,0.34364,0.18974,1.65013,2.56199,1.57037,0.000408248,0.000408248,0.000408248
4,24.2496,1.68864,1.9715,1.47822,0.51067,0.49484,0.45892,0.23137,1.70421,2.38947,1.7135,0.000538563,0.000538563,0.000538563
5,28.8527,1.60986,1.78938,1.4302,0.53401,0.4474,0.4324,0.24489,1.6542,2.55907,1.62248,0.000664111,0.000664111,0.000664111
6,34.5606,1.58809,1.69823,1.44801,0.48429,0.39811,0.40784,0.21716,1.91628,3.14668,1.86355,0.000784894,0.000784894,0.000784894
7,39.2121,1.58892,1.61452,1.42748,0.54763,0.42722,0.47467,0.2723,1.68816,1.87166,1.69081,0.00090091,0.00090091,0.00090091
8,43.8292,1.54737,1.53852,1.40975,0.51565,0.64385,0.61339,0.33144,1.69776,1.65068,1.6121,0.000982679,0.000982679,0.000982679
9,49.391,1.51438,1.50474,1.4075,0.63499,0.5398,0.60906,0.32756,1.72463,1.62663,1.65868,0.000964348,0.000964348,0.000964348
10,53.9351,1.52372,1.54476,1.42228,0.50282,0.46416,0.4775,0.24586,1.76993,2.34438,1.78461,0.000946016,0.000946016,0.000946016
11,60.286,1.48765,1.48145,1.43745,0.62472,0.44635,0.55942,0.30648,1.65282,1.95446,1.68941,0.000927685,0.000927685,0.000927685
12,65.1587,1.4864,1.38274,1.38258,0.61262,0.55287,0.6188,0.3392,1.64004,1.61873,1.57148,0.000909353,0.000909353,0.000909353
13,69.7838,1.47004,1.38997,1.37948,0.67776,0.55681,0.64734,0.38568,1.67365,1.49512,1.68095,0.000891022,0.000891022,0.000891022
14,75.4236,1.45867,1.36339,1.36637,0.69795,0.47875,0.61644,0.34582,1.69351,1.6023,1.7141,0.000872691,0.000872691,0.000872691
15,80.0764,1.42287,1.29557,1.35164,0.65028,0.60256,0.68134,0.37519,1.57382,1.48023,1.51857,0.000854359,0.000854359,0.000854359
16,84.7304,1.4298,1.31921,1.37639,0.63599,0.60389,0.64887,0.35349,1.77991,1.43929,1.67113,0.000836027,0.000836027,0.000836027
17,90.1163,1.39543,1.31848,1.32887,0.75743,0.62251,0.69779,0.35639,1.65319,1.44499,1.64459,0.000817696,0.000817696,0.000817696
18,94.6603,1.42409,1.25826,1.38365,0.69259,0.69296,0.73201,0.42163,1.59462,1.26367,1.55457,0.000799365,0.000799365,0.000799365
19,99.9914,1.38135,1.27711,1.33883,0.65131,0.58451,0.69743,0.38809,1.58982,1.43941,1.52954,0.000781033,0.000781033,0.000781033
20,104.846,1.37415,1.21577,1.34487,0.75843,0.61218,0.74671,0.41012,1.59746,1.37715,1.52345,0.000762702,0.000762702,0.000762702
21,109.438,1.32239,1.18273,1.31663,0.83377,0.60898,0.79415,0.4403,1.62157,1.17021,1.57834,0.00074437,0.00074437,0.00074437
22,115.153,1.35243,1.17823,1.30428,0.69608,0.72468,0.76846,0.45524,1.5147,1.17804,1.52402,0.000726038,0.000726038,0.000726038
23,119.788,1.3044,1.08497,1.28205,0.63709,0.67146,0.70706,0.41484,1.54332,1.34771,1.53204,0.000707707,0.000707707,0.000707707
24,124.724,1.27932,1.11651,1.26348,0.80754,0.60519,0.73102,0.44864,1.47711,1.2538,1.45868,0.000689376,0.000689376,0.000689376
